包裹编号,需求点编号,包裹类型,包裹重量(kg),服务物流点编号,主干车辆编号,包裹离开物流中心时刻(h),货物到达物流点时刻(h),无人机编号,运输无人机起飞时刻(h),本包裹送达时刻(h),运输无人机返回时刻(h),运输无人机总载重(kg),运输无人机总航程(km)
D0239-A007,D0239,A类,1,,,,,,,,,,
D0239-B001,D0239,B类,5,,,,,,,,,,
D0240-A001,D0240,A类,1,,,,,,,,,,
D0240-A002,D0240,A类,1,,,,,,,,,,
D0240-A003,D0240,A类,1,,,,,,,,,,
D0240-A004,D0240,A类,1,,,,,,,,,,
D0240-A005,D0240,A类,1,,,,,,,,,,
D0240-A006,D0240,A类,1,,,,,,,,,,
D0240-A007,D0240,A类,1,,,,,,,,,,
D0240-B001,D0240,B类,5,,,,,,,,,,
D0241-A001,D0241,A类,1,,,,,,,,,,
D0241-A002,D0241,A类,1,,,,,,,,,,
D0241-A003,D0241,A类,1,,,,,,,,,,
D0241-A004,D0241,A类,1,,,,,,,,,,
D0241-A005,D0241,A类,1,,,,,,,,,,
D0242-A001,D0242,A类,1,,,,,,,,,,
D0242-A002,D0242,A类,1,,,,,,,,,,
D0242-A003,D0242,A类,1,,,,,,,,,,
D0242-A004,D0242,A类,1,,,,,,,,,,
D0242-A005,D0242,A类,1,,,,,,,,,,
D0242-B001,D0242,B类,5,,,,,,,,,,
D0242-B002,D0242,B类,5,,,,,,,,,,
D0243-A001,D0243,A类,1,,,,,,,,,,
D0243-A002,D0243,A类,1,,,,,,,,,,
D0243-A003,D0243,A类,1,,,,,,,,,,
D0243-A004,D0243,A类,1,,,,,,,,,,
D0243-A005,D0243,A类,1,,,,,,,,,,
D0243-A006,D0243,A类,1,,,,,,,,,,
D0244-A001,D0244,A类,1,,,,,,,,,,
D0244-A002,D0244,A类,1,,,,,,,,,,
D0244-A003,D0244,A类,1,,,,,,,,,,
D0244-A004,D0244,A类,1,,,,,,,,,,
D0244-A005,D0244,A类,1,,,,,,,,,,
D0244-A006,D0244,A类,1,,,,,,,,,,
D0244-A007,D0244,A类,1,,,,,,,,,,
D0244-B001,D0244,B类,5,,,,,,,,,,
D0244-B002,D0244,B类,5,,,,,,,,,,
D0245-A001,D0245,A类,1,,,,,,,,,,
D0245-A002,D0245,A类,1,,,,,,,,,,
D0245-A003,D0245,A类,1,,,,,,,,,,
D0245-A004,D0245,A类,1,,,,,,,,,,
D0245-A005,D0245,A类,1,,,,,,,,,,
D0245-A006,D0245,A类,1,,,,,,,,,,
D0245-A007,D0245,A类,1,,,,,,,,,,
D0245-A008,D0245,A类,1,,,,,,,,,,
D0246-A001,D0246,A类,1,,,,,,,,,,
D0246-A002,D0246,A类,1,,,,,,,,,,
D0246-A003,D0246,A类,1,,,,,,,,,,
D0246-A004,D0246,A类,1,,,,,,,,,,
D0246-A005,D0246,A类,1,,,,,,,,,,
D0246-A006,D0246,A类,1,,,,,,,,,,
D0246-A007,D0246,A类,1,,,,,,,,,,
D0246-A008,D0246,A类,1,,,,,,,,,,
D0247-A001,D0247,A类,1,,,,,,,,,,
D0247-A002,D0247,A类,1,,,,,,,,,,
D0247-A003,D0247,A类,1,,,,,,,,,,
D0248-A001,D0248,A类,1,,,,,,,,,,
D0248-A002,D0248,A类,1,,,,,,,,,,
D0248-A003,D0248,A类,1,,,,,,,,,,
D0248-A004,D0248,A类,1,,,,,,,,,,
D0249-A001,D0249,A类,1,,,,,,,,,,
D0249-A002,D0249,A类,1,,,,,,,,,,
D0249-A003,D0249,A类,1,,,,,,,,,,
D0249-A004,D0249,A类,1,,,,,,,,,,
D0249-A005,D0249,A类,1,,,,,,,,,,
D0249-A006,D0249,A类,1,,,,,,,,,,
D0249-A007,D0249,A类,1,,,,,,,,,,
D0250-A001,D0250,A类,1,,,,,,,,,,
D0250-A002,D0250,A类,1,,,,,,,,,,
D0250-A003,D0250,A类,1,,,,,,,,,,
D0251-A001,D0251,A类,1,,,,,,,,,,
D0251-A002,D0251,A类,1,,,,,,,,,,
D0251-A003,D0251,A类,1,,,,,,,,,,
D0251-A004,D0251,A类,1,,,,,,,,,,
D0251-A005,D0251,A类,1,,,,,,,,,,
D0251-B001,D0251,B类,5,,,,,,,,,,
D0252-A001,D0252,A类,1,,,,,,,,,,
D0252-A002,D0252,A类,1,,,,,,,,,,
D0252-A003,D0252,A类,1,,,,,,,,,,
D0252-A004,D0252,A类,1,,,,,,,,,,
D0252-A005,D0252,A类,1,,,,,,,,,,
D0252-A006,D0252,A类,1,,,,,,,,,,
D0252-A007,D0252,A类,1,,,,,,,,,,
D0252-B001,D0252,B类,5,,,,,,,,,,
D0253-A001,D0253,A类,1,,,,,,,,,,
D0253-A002,D0253,A类,1,,,,,,,,,,
D0253-A003,D0253,A类,1,,,,,,,,,,
D0253-A004,D0253,A类,1,,,,,,,,,,
D0253-A005,D0253,A类,1,,,,,,,,,,
D0253-A006,D0253,A类,1,,,,,,,,,,
D0253-A007,D0253,A类,1,,,,,,,,,,
D0254-A001,D0254,A类,1,,,,,,,,,,
D0254-A002,D0254,A类,1,,,,,,,,,,
D0254-A003,D0254,A类,1,,,,,,,,,,
D0254-A004,D0254,A类,1,,,,,,,,,,
D0254-A005,D0254,A类,1,,,,,,,,,,
D0254-A006,D0254,A类,1,,,,,,,,,,
D0254-A007,D0254,A类,1,,,,,,,,,,
D0254-A008,D0254,A类,1,,,,,,,,,,
D0255-A001,D0255,A类,1,,,,,,,,,,
D0255-A002,D0255,A类,1,,,,,,,,,,
D0255-A003,D0255,A类,1,,,,,,,,,,
D0255-A004,D0255,A类,1,,,,,,,,,,
D0255-A005,D0255,A类,1,,,,,,,,,,
D0255-A006,D0255,A类,1,,,,,,,,,,
D0256-A001,D0256,A类,1,,,,,,,,,,
D0256-A002,D0256,A类,1,,,,,,,,,,
D0256-A003,D0256,A类,1,,,,,,,,,,
D0256-A004,D0256,A类,1,,,,,,,,,,
D0256-A005,D0256,A类,1,,,,,,,,,,
D0256-A006,D0256,A类,1,,,,,,,,,,
D0256-A007,D0256,A类,1,,,,,,,,,,
D0257-A001,D0257,A类,1,,,,,,,,,,
D0257-A002,D0257,A类,1,,,,,,,,,,
D0257-A003,D0257,A类,1,,,,,,,,,,
D0257-A004,D0257,A类,1,,,,,,,,,,
D0257-A005,D0257,A类,1,,,,,,,,,,
D0257-A006,D0257,A类,1,,,,,,,,,,
D0257-A007,D0257,A类,1,,,,,,,,,,
D0257-B001,D0257,B类,5,,,,,,,,,,
D0258-A001,D0258,A类,1,,,,,,,,,,
D0258-A002,D0258,A类,1,,,,,,,,,,
D0258-A003,D0258,A类,1,,,,,,,,,,
D0258-A004,D0258,A类,1,,,,,,,,,,
D0258-A005,D0258,A类,1,,,,,,,,,,
D0258-A006,D0258,A类,1,,,,,,,,,,
D0258-A007,D0258,A类,1,,,,,,,,,,
D0258-A008,D0258,A类,1,,,,,,,,,,
D0259-A001,D0259,A类,1,,,,,,,,,,
D0259-A002,D0259,A类,1,,,,,,,,,,
D0259-A003,D0259,A类,1,,,,,,,,,,
D0259-A004,D0259,A类,1,,,,,,,,,,
D0259-A005,D0259,A类,1,,,,,,,,,,
D0260-A001,D0260,A类,1,,,,,,,,,,
D0260-A002,D0260,A类,1,,,,,,,,,,
D0260-A003,D0260,A类,1,,,,,,,,,,
D0260-A004,D0260,A类,1,,,,,,,,,,
D0260-A005,D0260,A类,1,,,,,,,,,,
D0260-A006,D0260,A类,1,,,,,,,,,,
D0260-B001,D0260,B类,5,,,,,,,,,,
D0261-A001,D0261,A类,1,,,,,,,,,,
D0261-A002,D0261,A类,1,,,,,,,,,,
D0261-A003,D0261,A类,1,,,,,,,,,,
D0261-A004,D0261,A类,1,,,,,,,,,,
D0261-A005,D0261,A类,1,,,,,,,,,,
D0261-A006,D0261,A类,1,,,,,,,,,,
D0262-A001,D0262,A类,1,,,,,,,,,,
D0262-A002,D0262,A类,1,,,,,,,,,,
D0262-A003,D0262,A类,1,,,,,,,,,,
D0262-A004,D0262,A类,1,,,,,,,,,,
D0262-A005,D0262,A类,1,,,,,,,,,,
D0262-A006,D0262,A类,1,,,,,,,,,,
D0263-A001,D0263,A类,1,,,,,,,,,,
D0263-A002,D0263,A类,1,,,,,,,,,,
D0263-A003,D0263,A类,1,,,,,,,,,,
D0263-A004,D0263,A类,1,,,,,,,,,,
D0263-A005,D0263,A类,1,,,,,,,,,,
D0263-A006,D0263,A类,1,,,,,,,,,,
D0263-A007,D0263,A类,1,,,,,,,,,,
D0263-A008,D0263,A类,1,,,,,,,,,,
D0263-A009,D0263,A类,1,,,,,,,,,,
D0264-A001,D0264,A类,1,,,,,,,,,,
D0264-A002,D0264,A类,1,,,,,,,,,,
D0264-A003,D0264,A类,1,,,,,,,,,,
D0264-A004,D0264,A类,1,,,,,,,,,,
D0264-A005,D0264,A类,1,,,,,,,,,,
D0264-A006,D0264,A类,1,,,,,,,,,,
D0264-A007,D0264,A类,1,,,,,,,,,,
D0264-A008,D0264,A类,1,,,,,,,,,,
D0265-A001,D0265,A类,1,,,,,,,,,,
D0265-A002,D0265,A类,1,,,,,,,,,,
D0265-A003,D0265,A类,1,,,,,,,,,,
D0265-A004,D0265,A类,1,,,,,,,,,,
D0265-B001,D0265,B类,5,,,,,,,,,,
D0265-B002,D0265,B类,5,,,,,,,,,,
D0266-A001,D0266,A类,1,,,,,,,,,,
D0266-A002,D0266,A类,1,,,,,,,,,,
D0266-A003,D0266,A类,1,,,,,,,,,,
D0266-A004,D0266,A类,1,,,,,,,,,,
D0266-A005,D0266,A类,1,,,,,,,,,,
D0266-A006,D0266,A类,1,,,,,,,,,,
D0266-A007,D0266,A类,1,,,,,,,,,,
D0266-A008,D0266,A类,1,,,,,,,,,,
D0266-B001,D0266,B类,5,,,,,,,,,,
D0266-B002,D0266,B类,5,,,,,,,,,,
D0267-A001,D0267,A类,1,,,,,,,,,,
D0267-A002,D0267,A类,1,,,,,,,,,,
D0267-A003,D0267,A类,1,,,,,,,,,,
D0267-A004,D0267,A类,1,,,,,,,,,,
D0267-A005,D0267,A类,1,,,,,,,,,,
D0267-A006,D0267,A类,1,,,,,,,,,,
D0267-A007,D0267,A类,1,,,,,,,,,,
D0267-A008,D0267,A类,1,,,,,,,,,,
D0267-A009,D0267,A类,1,,,,,,,,,,
D0267-A010,D0267,A类,1,,,,,,,,,,
D0268-A001,D0268,A类,1,,,,,,,,,,
D0268-A002,D0268,A类,1,,,,,,,,,,
D0268-A003,D0268,A类,1,,,,,,,,,,
D0268-A004,D0268,A类,1,,,,,,,,,,
D0268-A005,D0268,A类,1,,,,,,,,,,
D0268-A006,D0268,A类,1,,,,,,,,,,
D0269-A001,D0269,A类,1,,,,,,,,,,
D0269-A002,D0269,A类,1,,,,,,,,,,
D0269-A003,D0269,A类,1,,,,,,,,,,
D0269-A004,D0269,A类,1,,,,,,,,,,
D0270-A001,D0270,A类,1,,,,,,,,,,
D0270-A002,D0270,A类,1,,,,,,,,,,
D0270-A003,D0270,A类,1,,,,,,,,,,
D0270-A004,D0270,A类,1,,,,,,,,,,
D0270-A005,D0270,A类,1,,,,,,,,,,
D0270-A006,D0270,A类,1,,,,,,,,,,
D0270-B001,D0270,B类,5,,,,,,,,,,
D0271-A001,D0271,A类,1,,,,,,,,,,
D0271-A002,D0271,A类,1,,,,,,,,,,
D0271-A003,D0271,A类,1,,,,,,,,,,
D0271-A004,D0271,A类,1,,,,,,,,,,
D0272-A001,D0272,A类,1,,,,,,,,,,
D0272-A002,D0272,A类,1,,,,,,,,,,
D0272-A003,D0272,A类,1,,,,,,,,,,
D0272-A004,D0272,A类,1,,,,,,,,,,
D0272-A005,D0272,A类,1,,,,,,,,,,
D0272-A006,D0272,A类,1,,,,,,,,,,
D0272-A007,D0272,A类,1,,,,,,,,,,
D0273-A001,D0273,A类,1,,,,,,,,,,
D0273-A002,D0273,A类,1,,,,,,,,,,
D0273-A003,D0273,A类,1,,,,,,,,,,
D0273-A004,D0273,A类,1,,,,,,,,,,
D0273-A005,D0273,A类,1,,,,,,,,,,
D0273-A006,D0273,A类,1,,,,,,,,,,
D0273-A007,D0273,A类,1,,,,,,,,,,
D0273-B001,D0273,B类,5,,,,,,,,,,
D0274-A001,D0274,A类,1,,,,,,,,,,
D0274-A002,D0274,A类,1,,,,,,,,,,
D0274-A003,D0274,A类,1,,,,,,,,,,
D0274-A004,D0274,A类,1,,,,,,,,,,
D0274-A005,D0274,A类,1,,,,,,,,,,
D0274-A006,D0274,A类,1,,,,,,,,,,
D0274-A007,D0274,A类,1,,,,,,,,,,
D0274-A008,D0274,A类,1,,,,,,,,,,
D0274-A009,D0274,A类,1,,,,,,,,,,
D0275-A001,D0275,A类,1,,,,,,,,,,
D0275-A002,D0275,A类,1,,,,,,,,,,
D0275-A003,D0275,A类,1,,,,,,,,,,
D0275-A004,D0275,A类,1,,,,,,,,,,
D0275-A005,D0275,A类,1,,,,,,,,,,
D0275-B001,D0275,B类,5,,,,,,,,,,
D0276-A001,D0276,A类,1,,,,,,,,,,
D0276-A002,D0276,A类,1,,,,,,,,,,
D0276-A003,D0276,A类,1,,,,,,,,,,
D0277-A001,D0277,A类,1,,,,,,,,,,
D0277-A002,D0277,A类,1,,,,,,,,,,
D0277-A003,D0277,A类,1,,,,,,,,,,
D0277-A004,D0277,A类,1,,,,,,,,,,
D0277-A005,D0277,A类,1,,,,,,,,,,
D0277-A006,D0277,A类,1,,,,,,,,,,
D0277-A007,D0277,A类,1,,,,,,,,,,
D0278-A001,D0278,A类,1,,,,,,,,,,
D0278-A002,D0278,A类,1,,,,,,,,,,
D0278-A003,D0278,A类,1,,,,,,,,,,
D0278-A004,D0278,A类,1,,,,,,,,,,
D0278-A005,D0278,A类,1,,,,,,,,,,
D0278-A006,D0278,A类,1,,,,,,,,,,
D0278-A007,D0278,A类,1,,,,,,,,,,
D0279-A001,D0279,A类,1,,,,,,,,,,
D0279-A002,D0279,A类,1,,,,,,,,,,
D0279-A003,D0279,A类,1,,,,,,,,,,
D0279-B001,D0279,B类,5,,,,,,,,,,
D0279-B002,D0279,B类,5,,,,,,,,,,
D0280-A001,D0280,A类,1,,,,,,,,,,
D0280-A002,D0280,A类,1,,,,,,,,,,
D0280-A003,D0280,A类,1,,,,,,,,,,
D0280-A004,D0280,A类,1,,,,,,,,,,
D0280-A005,D0280,A类,1,,,,,,,,,,
D0281-A001,D0281,A类,1,,,,,,,,,,
D0281-A002,D0281,A类,1,,,,,,,,,,
D0281-A003,D0281,A类,1,,,,,,,,,,
D0281-A004,D0281,A类,1,,,,,,,,,,
D0281-A005,D0281,A类,1,,,,,,,,,,
D0282-A001,D0282,A类,1,,,,,,,,,,
D0282-A002,D0282,A类,1,,,,,,,,,,
D0282-A003,D0282,A类,1,,,,,,,,,,
D0282-A004,D0282,A类,1,,,,,,,,,,
D0282-B001,D0282,B类,5,,,,,,,,,,
D0283-A001,D0283,A类,1,,,,,,,,,,
D0283-A002,D0283,A类,1,,,,,,,,,,
D0283-A003,D0283,A类,1,,,,,,,,,,
D0283-A004,D0283,A类,1,,,,,,,,,,
D0283-A005,D0283,A类,1,,,,,,,,,,
D0283-A006,D0283,A类,1,,,,,,,,,,
D0283-A007,D0283,A类,1,,,,,,,,,,
D0284-A001,D0284,A类,1,,,,,,,,,,
D0284-A002,D0284,A类,1,,,,,,,,,,
D0284-A003,D0284,A类,1,,,,,,,,,,
D0284-A004,D0284,A类,1,,,,,,,,,,
D0284-A005,D0284,A类,1,,,,,,,,,,
D0284-A006,D0284,A类,1,,,,,,,,,,
D0284-A007,D0284,A类,1,,,,,,,,,,
D0284-A008,D0284,A类,1,,,,,,,,,,
D0284-A009,D0284,A类,1,,,,,,,,,,
D0284-A010,D0284,A类,1,,,,,,,,,,
D0285-A001,D0285,A类,1,,,,,,,,,,
D0285-A002,D0285,A类,1,,,,,,,,,,
D0285-A003,D0285,A类,1,,,,,,,,,,
D0285-A004,D0285,A类,1,,,,,,,,,,
D0285-A005,D0285,A类,1,,,,,,,,,,
D0286-A001,D0286,A类,1,,,,,,,,,,
D0286-A002,D0286,A类,1,,,,,,,,,,
D0286-A003,D0286,A类,1,,,,,,,,,,
D0286-A004,D0286,A类,1,,,,,,,,,,
D0286-A005,D0286,A类,1,,,,,,,,,,
D0286-A006,D0286,A类,1,,,,,,,,,,
D0286-A007,D0286,A类,1,,,,,,,,,,
D0286-A008,D0286,A类,1,,,,,,,,,,
D0286-A009,D0286,A类,1,,,,,,,,,,
D0287-A001,D0287,A类,1,,,,,,,,,,
D0287-A002,D0287,A类,1,,,,,,,,,,
D0287-A003,D0287,A类,1,,,,,,,,,,
D0288-A001,D0288,A类,1,,,,,,,,,,
D0288-A002,D0288,A类,1,,,,,,,,,,
D0288-A003,D0288,A类,1,,,,,,,,,,
D0288-A004,D0288,A类,1,,,,,,,,,,
D0288-A005,D0288,A类,1,,,,,,,,,,
D0288-A006,D0288,A类,1,,,,,,,,,,
D0288-A007,D0288,A类,1,,,,,,,,,,
D0288-A008,D0288,A类,1,,,,,,,,,,
D0288-B001,D0288,B类,5,,,,,,,,,,
D0289-A001,D0289,A类,1,,,,,,,,,,
D0289-A002,D0289,A类,1,,,,,,,,,,
D0289-A003,D0289,A类,1,,,,,,,,,,
D0289-A004,D0289,A类,1,,,,,,,,,,
D0289-A005,D0289,A类,1,,,,,,,,,,
D0290-A001,D0290,A类,1,,,,,,,,,,
D0290-A002,D0290,A类,1,,,,,,,,,,
D0290-A003,D0290,A类,1,,,,,,,,,,
D0290-A004,D0290,A类,1,,,,,,,,,,
D0291-A001,D0291,A类,1,,,,,,,,,,
D0291-A002,D0291,A类,1,,,,,,,,,,
D0291-A003,D0291,A类,1,,,,,,,,,,
D0291-A004,D0291,A类,1,,,,,,,,,,
D0292-A001,D0292,A类,1,,,,,,,,,,
D0292-A002,D0292,A类,1,,,,,,,,,,
D0292-A003,D0292,A类,1,,,,,,,,,,
D0293-A001,D0293,A类,1,,,,,,,,,,
D0293-A002,D0293,A类,1,,,,,,,,,,
D0293-A003,D0293,A类,1,,,,,,,,,,
D0293-A004,D0293,A类,1,,,,,,,,,,
D0293-B001,D0293,B类,5,,,,,,,,,,
D0294-A001,D0294,A类,1,,,,,,,,,,
D0294-A002,D0294,A类,1,,,,,,,,,,
D0294-A003,D0294,A类,1,,,,,,,,,,
D0294-A004,D0294,A类,1,,,,,,,,,,
D0294-A005,D0294,A类,1,,,,,,,,,,
D0294-A006,D0294,A类,1,,,,,,,,,,
D0294-A007,D0294,A类,1,,,,,,,,,,
D0294-A008,D0294,A类,1,,,,,,,,,,
D0294-A009,D0294,A类,1,,,,,,,,,,
D0294-A010,D0294,A类,1,,,,,,,,,,
D0294-A011,D0294,A类,1,,,,,,,,,,
D0294-A012,D0294,A类,1,,,,,,,,,,
D0294-B001,D0294,B类,5,,,,,,,,,,
D0295-A001,D0295,A类,1,,,,,,,,,,
D0295-A002,D0295,A类,1,,,,,,,,,,
D0295-A003,D0295,A类,1,,,,,,,,,,
D0295-A004,D0295,A类,1,,,,,,,,,,
D0295-A005,D0295,A类,1,,,,,,,,,,
D0295-A006,D0295,A类,1,,,,,,,,,,
D0295-A007,D0295,A类,1,,,,,,,,,,
D0295-A008,D0295,A类,1,,,,,,,,,,
D0295-A009,D0295,A类,1,,,,,,,,,,
D0295-B001,D0295,B类,5,,,,,,,,,,
D0296-A001,D0296,A类,1,,,,,,,,,,
D0296-A002,D0296,A类,1,,,,,,,,,,
D0296-A003,D0296,A类,1,,,,,,,,,,
D0296-A004,D0296,A类,1,,,,,,,,,,
D0296-A005,D0296,A类,1,,,,,,,,,,
D0296-A006,D0296,A类,1,,,,,,,,,,
D0296-B001,D0296,B类,5,,,,,,,,,,
D0297-A001,D0297,A类,1,,,,,,,,,,
D0297-A002,D0297,A类,1,,,,,,,,,,
D0297-A003,D0297,A类,1,,,,,,,,,,
D0297-A004,D0297,A类,1,,,,,,,,,,
D0297-A005,D0297,A类,1,,,,,,,,,,
D0297-A006,D0297,A类,1,,,,,,,,,,
D0297-A007,D0297,A类,1,,,,,,,,,,
D0297-A008,D0297,A类,1,,,,,,,,,,
D0297-A009,D0297,A类,1,,,,,,,,,,
D0297-A010,D0297,A类,1,,,,,,,,,,
D0297-A011,D0297,A类,1,,,,,,,,,,
D0297-A012,D0297,A类,1,,,,,,,,,,
D0297-A013,D0297,A类,1,,,,,,,,,,
D0297-A014,D0297,A类,1,,,,,,,,,,
D0298-A001,D0298,A类,1,,,,,,,,,,
D0298-A002,D0298,A类,1,,,,,,,,,,
D0299-A001,D0299,A类,1,,,,,,,,,,
D0299-A002,D0299,A类,1,,,,,,,,,,
D0299-A003,D0299,A类,1,,,,,,,,,,
D0299-A004,D0299,A类,1,,,,,,,,,,
D0299-A005,D0299,A类,1,,,,,,,,,,
D0299-A006,D0299,A类,1,,,,,,,,,,
D0299-A007,D0299,A类,1,,,,,,,,,,
D0300-A001,D0300,A类,1,,,,,,,,,,
D0300-A002,D0300,A类,1,,,,,,,,,,
D0300-A003,D0300,A类,1,,,,,,,,,,
D0300-A004,D0300,A类,1,,,,,,,,,,
D0300-A005,D0300,A类,1,,,,,,,,,,
